Titre de l’article,Auteurs,Date de publication,Titre de la source,Mots-clés,Nombre de citations,DOI,Résumé,Type de document,issn
On singular quasilinear elliptic equations with data measures,"Alaa, NE ; Aqel, F ; Taourirte, L",MAY 16 2021,ADVANCES IN NONLINEAR ANALYSISarrow_drop_down, DIRICHLET PROBLEM ; WEAK SOLUTIONS weak solution ; quasilinear equation ; data measures ; isoperimetric inequality ; singular nonlinearity,5,10.1515/anona-2020-0132,"The aim of this work is to study a quasilinear elliptic equation with singular nonlinearity and data measure. Existence and non-existence results are obtained under necessary or sufficient conditions on the data, where the main ingredient is the isoperimetric inequality. Finally, uniqueness results for weak solutions are given.",Article,2191-9496
Instabilities in certain one-dimensional singular interfacial equation,"Bognár, G ; Guedda, M ; Hriczó, K ; Taourirte, L",MAR 2020,PHYSICA SCRIPTAarrow_drop_down, MOLECULAR-BEAM EPITAXY ; SLOPE SELECTION ; CRYSTAL-GROWTH ; SURFACE ; MODELS ; DIFFUSION growth equation ; surface morphology ; wave length ; amplitude,2,10.1088/1402-4896/ab5272,"We re-examine a generalized singular equation to discuss the coarsening of growing interfaces, in the presence of Ehrlich-Schwoebel-Villain barrier that induces a pyramidal or mound-type structure without slope selection. Our aim is to obtain analytically results on the coarsening process by inspecting the behavior of branch of the steady state periodic solutions.",Article,0031-8949
Improved GWO algorithm for the determination of the critical wrinkle length of graphene,"Taourirte, L ; Alaa, NE ; Khalfi, H",JUN 2019,ANNALS OF THE UNIVERSITY OF CRAIOVA-MATHEMATICS AND COMPUTER SCIENCE SERIESarrow_drop_down, Graphene ; Wrinkle ; Deflection ; Euler-Lagrange ; Optimisation ; Grey Wolf Optimizer ; Finit elements,1,,"Graphene, one of the most important discoveries in the field of materials, is an interesting two-dimensional flexible membrane which has been highly studied by physicians in the last decade as it has shown tremendous utility in fundamental studies, industrial and electronic applications, ranging from nanoelectronics to biology, thanks to its notable electronic, mechanical and chemical properties. Graphene in its natural state is non-flat and tends to crumple. The wrinkles are usually considered to be a result of stretching and bending forces, and are viewed as local minimizers of a suitable elastic energy.
In this paper we focus on the study of the wrinkling shape of graphene. A detailed geometric model provided by Yamamoto et al. [15] describing the shape of the wrinkles in terms of a deflection profile, is numerically analysed. The Euler Lagrange equation associated to this problem is formulated in the context of a constrained optimization problem and numerical simulations are carried out to compute the optimal profile using the Grey Wolf Optimizer (GWO), leading to good results in comparison with the ones found in the litterature.",Article,1223-6934
On the existence of global weak solutions to a generalized Keller Segel model with arbitrary growth and nonlinear signal production,"Lefraich, H ; Taourirte, L ; Khalfi, H ; Alaa, NE",JUN 2019,ANNALS OF THE UNIVERSITY OF CRAIOVA-MATHEMATICS AND COMPUTER SCIENCE SERIESarrow_drop_down, CHEMOTAXIS SYSTEM ; AGGREGATION ; BOUNDEDNESS Keller-Segel model ; nonlinear coupled system ; cell motion ; chemotaxis,1,,"In this work we present the mathematical analysis of a system able to describe the biological chemotaxis phenomena. The proposed model is a modification of the classical Keller Segel model and its subsequent developments, which, in many cases, have been developed to obtain models that prevent the non-physical blow up of solutions. We are concerned with the global existence in L2(Omega) of weak global solutions to a class of parabolic-elliptic chemotaxis systems encompassing the prototype
ut - del.(del u - chi u del v) = f(x), x is an element of Omega, t > 0,
-Delta v + v = u(gamma), x is an element of Omega, t > 0,
with nonnegative initial condition for u and no flux boundary conditions in a bounded domain Omega subset of Rn (n >= 2), where chi > 0, 0 < gamma < 1 and f is an element of C-1(R) satisfying, f(0) = 0 and
f(s) <= 0, s >= 0.
It is shown under those conditions that the problem admits weak solutions in L-2(Omega). In order to develop the mathematical analysis of our model, we define an approximating scheme with more regular initial conditions, then we make some estimations that will allow us to prove that the solution of the approximated system converge to the solution of our problem.",Article,1223-6934
Analytical solutions and classification of vesicle motion and deformation in shear flow: Uncovering new tank-treading modes,"Azroul, E ; Bouda, S ; Diki, G ; Guedda, M",MAR 2024,CHAOSarrow_drop_down, FRACTIONAL CALCULUS ; DYNAMICS,1,10.1063/5.0189923,"Using a small deformation approach, a fractional ordinary differential system is proposed to investigate the motion and deformation of a vesicle in shear flow. Closed analytical expressions of the orientation angle and the ellipticity of the vesicle contour (shape deformation) are provided. Three different motions are identified, the classical tank-treading state, and two new types of motions, namely, the over-damped tank-treading mode, in which the vesicle's orientation angle psi and its shape deformation R tend more slowly toward equilibrium, and the under-damped tank-treading mode, in which psi oscillates all the time along the flow direction with decreasing amplitude, while R starts making a breathing motion and then tends to an attractive amplitude. The implications of our findings extend widely within the field of fluid dynamics, revealing the potential for further advancements and applications in understanding complex fluid systems.",Article,1054-1500
Exploring the interplay between memory effects and vesicle dynamics: A five-dimensional analysis using rigid sphere models and mapping techniques,"Azroul, E ; Diki, G ; Guedda, M",JAN 2024,STUDIES IN APPLIED MATHEMATICSarrow_drop_down, SUSPENSION Caputo derivative ; fractional differential equations ; memory effect ; red blood cells ; the fractional Adams method ; vesicles dynamics,2,10.1111/sapm.12648,"The memory effect in vesicle dynamics refers to the persistence of shape changes in lipid vesicles, a type of lipid bilayer membrane that mimics some features of real cells, particularly red blood cells (RBCs). To study this effect, a fractional rigid sphere model in five dimensions has been investigated, which maps the dynamics of a vesicle using the Caputo operator. This model provides new insights into the mechanisms behind the memory effect as well as the emergence of two other motions, namely, tank-treading with underdamped and tank-treading with overdamped vesicle oscillations, in addition to the tank-treading mode where the vesicle rotates about its axis while maintaining a constant shape. Overall, this work represents a significant advance in our understanding of vesicle dynamics and has important implications for understanding the behavior of RBCs.",Article,0022-2526
,"Hamou, AA ; Azroul, E ; Bouda, S ; Guedda, M",FEB 2024,MODELING EARTH SYSTEMS AND ENVIRONMENTarrow_drop_down, SPREAD ; AGE HIV ; Heterosexual population ; Caputo derivative ; Fractional differential system,6,10.1007/s40808-023-01791-6,"HIV disease is a major global public health concern since its appearance in the early 1980s. Many mathematical models have been conducted to understand, control, and predict its spread. In this paper we propose a mathematical model with memory effect modelling HIV transmission in a heterosexual population divided into two age classes; young-class (15-24 years old) and grown-class (25 years old and over). The goal of dividing the population according to age is to identify the most vulnerable class to the virus based on their sexual activity and make accurate predictions about HIV transmission. First, we determine the biologically significant space for the study, and we prove the existence of a unique solution. Then we divide the principal model into four sub-models: young-people, grown-people, young-men linked to grown-women, grown-men linked to young-women. The basic reproduction number associated to each sub-model is derived. According to the four sub-models, we have found that, if the basic reproduction number is below unity, then the free disease equilibrium state is locally asymptotically stable. Numerical simulations are provided to validate the theoretical results and discuss the local stability of the endemic equilibrium states of each sub-model. We conclude that incorporating memory conservation gives more realistic results, where reaching a stable state takes higher time. As well, memory effect can play the role of prior knowledge about the disease and experience accumulated over years.",Article,2363-6203
Effect of family and public health education in drug transmission: an epidemiological model with memory,"Hamou, AA ; Azroul, E ; Diki, G ; Guedda, M",JUN 2023,MODELING EARTH SYSTEMS AND ENVIRONMENTarrow_drop_down, DIFFERENTIAL-EQUATIONS ; MATHEMATICAL-MODEL ; HEROIN EPIDEMIC ; WITHIN-HOST ; DYNAMICS ; CAMPAIGNS ; HIV/AIDS ; BEHAVIOR ; SPREAD Caputo derivative ; Fractional differential equations ; Drug transmission model ; Memory effects ; Sensitivity ; The modified trapezoidal rule and the fractional Euler's method,4,10.1007/s40808-022-01662-6,"A problem of theoretical and numerical interest in standard epidemiological models is the calculation or estimation of the basic reproduction number R0\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${\mathcal {R}}_0$$\end{document}. This parameter serves as a threshold quantity for the extinction or spread of the disease. In this paper, we explore a model of drug transmission based on compartmental dynamic models, as in epidemiological models of infectious diseases. The objective is to study R0\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${\mathcal {R}}_0$$\end{document} as a function of family and public health education. In order to make the general analysis and obtain a wide range of results, we use a fractional time-Caputo derivative instead of the classical time derivative. The analytic and numerical results (existence and uniqueness of solutions, equilibrium stability analysis, parameter sensitivity, trapezoidal rule, and fractional Euler method) showed that the combination of family education and public health has an impact on drug transmission reduction. This can be used to control or adopt treatment strategies.",Article,2363-6203
Exact trajectory solutions of a spherical microswimmer under flow and external fields,"Guedda, M ; Chaiboub, J ; Benlahsen, M ; Misbah, C",JUL 7 2021,PHYSICAL REVIEW FLUIDSarrow_drop_down, DILUTE SUSPENSION ; PARTICLES ; RHEOLOGY ; MOTION,2,10.1103/PhysRevFluids.6.074102,"The main objective of the present study is the derivation of exact analytical expressions for the orientation and trajectory of a spherical microswimmer submitted to general linear flows and to an external (gravitational or magnetic) force field, a problem known as gyrotaxis or magnetotaxis. We consider linear shear, hyperbolic, solid-rotation, and stagnation flows. The evolution equations of the swimmer orientation and its position are nonlinear and analytical results are the exception rather than the rule. Most available results for cell orientation and trajectories are obtained numerically. The solution for the swimmer orientation is inspired from a method due to Bretherton, initially developed for a different nonlinear equation. We show here that this method can be generalized to our evolution equation. We see that the swimmer under flow exhibits both run (a motion where the orientation angle is kept constant with time) and tumble (the orientation angle is cyclic with time) regimes, and a variety of cell trajectories are extracted analytically, such as parabolic, elliptic, and helical. This study offers a framework to generalize the results to other types of flows.",Article,2469-990X
Characterizing environmental geographic inequalities using an integrated exposure assessment,"Caudeville, J ; Regrain, C ; Tognet, F ; Bonnard, R ; Guedda, M ; Brochot, C ; Beauchamp, M ; Letinois, L ; Malherbe, L ; Marliere, F ;  ;  ;  ; ",MAY 12 2021,ENVIRONMENTAL HEALTHarrow_drop_down, POPULATION EXPOSURE ; AMBIENT AIR ; HEALTH ; EXPOSOME ; MODELS Inequities ; Spatial ; Exposure ; Modeling ; Integrated,4,10.1186/s12940-021-00736-9,"Background At a regional or continental scale, the characterization of environmental health inequities (EHI) expresses the idea that populations are not equal in the face of pollution. It implies an analysis be conducted in order to identify and manage the areas at risk of overexposure where an increasing risk to human health is suspected. The development of methods is a prerequisite for implementing public health activities aimed at protecting populations. Methods This paper presents the methodological framework developed by INERIS (French National Institute for Industrial Environment and Risks) to identify a common framework for a structured and operationalized assessment of human exposure. An integrated exposure assessment approach has been developed to integrate the multiplicity of exposure pathways from various sources, through a series of models enabling the final exposure of a population to be defined. Results Measured data from environmental networks reflecting the actual contamination of the environment are used to gauge the population's exposure. Sophisticated methods of spatial analysis are applied to include additional information and take benefit of spatial and inter-variable correlation to improve data representativeness and characterize the associated uncertainty. Integrated approaches bring together all the information available for assessing the source-to-human-dose continuum using a Geographic Information System, multimedia exposure and toxicokinetic model. Discussion One of the objectives of the integrated approach was to demonstrate the feasibility of building complex realistic exposure scenarios satisfying the needs of stakeholders and the accuracy of the modelling predictions at a fine spatial-temporal resolution. A case study is presented to provide a specific application of the proposed framework and how the results could be used to identify an overexposed population. Conclusion This framework could be used for many purposes, such as mapping EHI, identifying vulnerable populations and providing determinants of exposure to manage and plan remedial actions and to assess the spatial relationships between health and the environment to identify factors that influence the variability of disease patterns.",Article,1476-069X
Spatio-temporal assessment of pregnant women exposure to chlorpyrifos at a regional scale,"Regrain, C ; Zeman, FA ; Guedda, M ; Chardon, K ; Bach, V ; Brochot, C ; Bonnard, R ; Tognet, F ; Malherbe, L ; Létinois, L ;  ;  ;  ; ",JAN 2022,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGYarrow_drop_down, EXPOSOME ; ENVIRONMENT ; PESTICIDES,9,10.1038/s41370-021-00315-7,"Background The aim of this study was to use an integrated exposure assessment approach, combining spatiotemporal modeling of environmental exposure and fate of the chemical to assess the exposure of vulnerable populations. In this study, chlorpyrifos exposure of pregnant women in Picardy was evaluated at a regional scale during 1 year. This approach provided a mapping of exposure indicators of pregnant women to chlorpyrifos over fine spatial and temporal resolutions using a GIS environment.
Methods Fate and transport models (emission, atmospheric dispersion, multimedia exposure, PBPK) were combined with environmental databases in a GIS environment. Quantities spread over agricultural fields were simulated and integrated into a modeling chain coupling models. The fate and transport of chlorpyrifos was characterized by an atmospheric dispersion statistical metamodel and the dynamiCROP model. Then, the multimedia model Modul'ERS was used to predict chlorpyrifos daily exposure doses which were integrated in a PBPK model to compute biomarker of exposure (TCPy urinary concentrations). For the concentration predictions, two scenarios (lower bound and upper bound) were built.
Results At fine spatio-temporal resolutions, the cartography of biomarkers in the lower bound scenario clearly highlights agricultural areas. In these maps, some specific areas and hotspots appear as potentially more exposed specifically during application period. Overall, predictions were close to biomonitoring data and ingestion route was the main contributor to chlorpyrifos exposure.
Conclusions This study demonstrated the feasibility of an integrated approach for the evaluation of chlorpyrifos exposure which allows the comparison between modeled predictions and biomonitoring data.",Article,1559-0631
Dynamical properties of a nonlinear Kuramoto-Sivashinsky growth equation,"Benlahsen, M ; Bognár, G ; Csáti, Z ; Guedda, M ; Hriczó, K",JUN 2021,ALEXANDRIA ENGINEERING JOURNALarrow_drop_down, THIN-FILM GROWTH ; EVOLUTION ; SURFACE ; DIFFUSION Growth model ; Molecular beam epitaxy ; Meandering ; Coarsening,3,10.1016/j.aej.2021.02.003,"The conserved Kuramoto-Sivashinsky equation can be considered as the one- and twodimensional evolution equation for amorphous thin film growth. The role of the nonlinear term Dojruj2THORN and the properties of the solutions are investigated analytically and numerically. Analytical results of wavelength and amplitude are provided. Numerical simulations of this equation are presented, showing the roughening and coarsening of the surface pattern and the evolution of the surface morphology over time for different parameter values in one- and two-dimensions. (C)2021 THE AUTHORS. Published by Elsevier BV on behalf of Faculty of Engineering, Alexandria University. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/ licenses/by-nc-nd/4.0/).",Article,1110-0168
AN EFFICIENT IDENTIFICATION OF RED BLOOD CELL EQUILIBRIUM SHAPE USING NEURAL NETWORKS,"Fahim, H ; Sawadogo, OW ; Alaa, N ; Guedda, M",2021,EURASIAN JOURNAL OF MATHEMATICAL AND COMPUTER APPLICATIONSarrow_drop_down, MEMBRANES ; ENERGY ; MODEL Red blood cell shape ; Curvature elasticity energy ; thickness distribution ; inverse problem ; PSOGSANNA Algorithm,1,10.32523/2306-6172-2021-9-2-39-56,"This work of applied mathematics with interfaces in bio-physics focuses on the shape identification and numerical modelisation of a single red blood cell shape. The purpose of this work is to provide a quantitative method for interpreting experimental observations of the red blood cell shape under microscopy. In this paper we give a new formulation based on classical theory of geometric shape minimization which assumes that the curvature energy with additional constraints controls the shape of the red blood cell. To minimize this energy under volume and area constraints, we propose a new hybrid algorithm which combines Particle Swarm Optimization (PSO), Gravitational Search (GSA) and Neural Network Algorithm (NNA). The results obtained using this new algorithm agree well with the experimental results given by Evans et al. (8) especially for sphered and biconcave shapes.",Article,2306-6172
Global existence of solutions of a semilinear heat equation with nonlinear memory condition,"Gladkov, A ; Guedda, M",DEC 9 2020,APPLICABLE ANALYSISarrow_drop_down, BOUNDARY-CONDITION ; SOLVABILITY Alexander Pankov ; Semilinear parabolic equation ; memory boundary condition ; finite time blow-up,1,10.1080/00036811.2019.1584291,"We consider a semilinear parabolic equation with flux at the boundary governed by a nonlinear memory. We give some conditions for this problem which guarantee global existence of solutions as well as blow-up in finite time of all nontrivial solutions. The results depend on the behavior of variable coefficients as
t -> infinity .",Article,0003-6811
Design of an Integrated Platform for Mapping Residential Exposure to Rf-Emf Sources,"Regrain, C ; Caudeville, J ; de Seze, R ; Guedda, M ; Chobineh, A ; de Doncker, P ; Petrillo, L ; Chiaramello, E ; Parazzini, M ; Joseph, W ;  ;  ; ",AUG 2020,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTHarrow_drop_down, ELECTROMAGNETIC-FIELD EXPOSURE ; BASE STATION EXPOSURE ; POPULATION EXPOSURE ; CHILDREN EXPOSURE ; YOUNG-PEOPLE ; SURROGATE ; MODEL ; APPROXIMATIONS ; ENVIRONMENTS ; BUILDINGS radiofrequency electromagnetic fields ; spatiotemporal exposure assessment ; data fusion ; Monte Carlo approach,6,10.3390/ijerph17155339,"Nowadays, information and communication technologies (mobile phones, connected objects) strongly occupy our daily life. The increasing use of these technologies and the complexity of network infrastructures raise issues about radiofrequency electromagnetic fields (Rf-Emf) exposure. Most previous studies have assessed individual exposure to Rf-Emf, and the next level is to assess populational exposure. In our study, we designed a statistical tool for Rf-Emf populational exposure assessment and mapping. This tool integrates geographic databases and surrogate models to characterize spatiotemporal exposure from outdoor sources, indoor sources, and mobile phones. A case study was conducted on a 100 x 100 m grid covering the 14th district of Paris to illustrate the functionalities of the tool. Whole-body specific absorption rate (SAR) values are 2.7 times higher than those for the whole brain. The mapping of whole-body and whole-brain SAR values shows a dichotomy between built-up and non-built-up areas, with the former displaying higher values. Maximum SAR values do not exceed 3.5 and 3.9 mW/kg for the whole body and the whole brain, respectively, thus they are significantly below International Commission on Non-Ionizing Radiation Protection (ICNIRP) recommendations. Indoor sources are the main contributor to populational exposure, followed by outdoor sources and mobile phones, which generally represents less than 1% of total exposure.",Article,1660-4601
Instabilities in certain one-dimensional singular interfacial equation,"Bognár, G ; Guedda, M ; Hriczó, K ; Taourirte, L",MAR 2020,PHYSICA SCRIPTAarrow_drop_down, MOLECULAR-BEAM EPITAXY ; SLOPE SELECTION ; CRYSTAL-GROWTH ; SURFACE ; MODELS ; DIFFUSION growth equation ; surface morphology ; wave length ; amplitude,2,10.1088/1402-4896/ab5272,"We re-examine a generalized singular equation to discuss the coarsening of growing interfaces, in the presence of Ehrlich-Schwoebel-Villain barrier that induces a pyramidal or mound-type structure without slope selection. Our aim is to obtain analytically results on the coarsening process by inspecting the behavior of branch of the steady state periodic solutions.",Article,0031-8949
Influence of variable coefficients on global existence of solutions of semilinear heat equations with nonlinear boundary conditions,"Gladkov, A ; Guedda, M",2020,ELECTRONIC JOURNAL OF QUALITATIVE THEORY OF DIFFERENTIAL EQUATIONSarrow_drop_down, BLOW-UP ; POSITIVE SOLUTIONS ; NONEXISTENCE ; UNIQUENESS ; BEHAVIOR ; SYSTEM semilinear parabolic equation ; nonlinear boundary condition ; finite time blow-up,0,10.14232/ejqtde.2020.1.63,We consider semilinear parabolic equations with nonlinear boundary conditions. We give conditions which guarantee global existence of solutions as well as blow-up in finite time of all solutions with nontrivial initial data. The results depend on the behavior of variable coefficients as t -> infinity.,Article,1417-3875
Analytic Self-Similar Solutions of the Kardar-Parisi-Zhang Interface Growing Equation with Various Noise Terms,"Barna, IF ; Bognár, G ; Guedda, M ; Mátyás, L ; Hriczó, K",2020,MATHEMATICAL MODELLING AND ANALYSISarrow_drop_down, GROWTH ; WAVES ; MODEL self-similar solution ; KPZ equation ; Gaussian noise ; Lorentzian noise ; special functions ; Heun functions,9,10.3846/mma.2020.10459,"The one-dimensional Kardar-Parisi-Zhang dynamic interface growth equation with the self-similar ansatz is analyzed. As a new feature additional analytic terms are added. From the mathematical point of view, these can be considered as various noise distribution functions. Six different cases were investigated among others Gaussian, Lorentzian, white or even pink noise. Analytic solutions are evaluated and analyzed for all cases. All results are expressible with various special functions like Kummer, Heun, Whittaker or error functions showing a very rich mathematical structure with some common general characteristics.",Article,1392-6292
Uniform boundedness and extinction results of solutions to a predator-prey system,"Kirane, M ; Badraoui, S ; Guedda, M",2020,ELECTRONIC JOURNAL OF QUALITATIVE THEORY OF DIFFERENTIAL EQUATIONSarrow_drop_down, MODEL reaction-diffusion ; global existence ; positivity ; predator-prey ; extinction of solutions,1,10.14232/ejqtde.2020.1.11,"Global existence, positivity, uniform boundedness and extinction results of solutions to a system of reaction-diffusion equations on unbounded domain modeling two species on a predator-prey relationship is considered.",Article,1417-3875
CONVERGENCE TO EQUILIBRIUM OF A DC ALGORITHM FOR AN EPITAXIAL GROWTH MODEL,"Khalfi, H ; Pierre, M ; Alaa, NE ; Guedda, M",2019,INTERNATIONAL JOURNAL OF NUMERICAL ANALYSIS AND MODELINGarrow_drop_down, BACKWARD EULER SCHEME ; ENERGY STABLE SCHEME ; THIN-FILM MODEL ; SLOPE SELECTION Thin film epitaxy ; DC programming ; coarsening dynamics ; Lojasiewicz-Simon inequality ; epitaxial growth ; model without slope selection ; Fourier spectral method ; convergence to equilibrium ; pattern formation,2,,"A linear numerical scheme for an epitaxial growth model is analyzed in this work. The considered scheme is already established in the literature using a convexity splitting argument. We show that it can be naturally derived from an optimization viewpoint using a DC (difference of convex functions) programming framework. Moreover, we prove the convergence of the scheme towards equilibrium by means of the Lojasiewicz-Simon inequality. The fully discrete version, based on a Fourier collocation method, is also analyzed. Finally, numerical simulations are carried out to accommodate our analyzis.",Article,1705-5105
Mapping vesicle dynamics onto that of a rigid sphere in five dimensions,"Aarab, A ; Guedda, M ; Alaa, N ; Misbah, C",OCT 11 2018,PHYSICAL REVIEW Earrow_drop_down, RED-BLOOD-CELLS ; FLUID VESICLES ; VISCOSITY ; PARTICLE ; RHEOLOGY ; MOTION ; LIFT,3,10.1103/PhysRevE.98.042407,"Vesicles are sacs made of a phospholipid bilayer, and they mimic the cytoplasmic membrane of real cells, for which red blood cells constitute a canonical example. Vesicles deform under flow, such as a shear flow. Under a linear shear flow, they are known to exhibit several motions that combine orientation and shape deformation (such as tank treading, vacillating breathing, and so on). It is shown here that the equations of motion of a vesicle under shear flow in the weak deformation regime can be mapped onto those of a loaded (or heavy bottom) rigid sphere in five dimensions in fictitious gravitational and shear fields. Based on our previous exact analytical solutions for vesicles (which we extend here to out-of-shear-plane motions), we provide hitherto unrevealed exact explicit solution for the rigid sphere problem. We explain how deformation of a vesicle in real space can be extracted from a rigid body dynamics in five dimensions upon appropriate projection onto a lower dimension. This study offers a framework where rigid spheres and deformable vesicles are recast into the same universality class in which both systems are described by the same formal equations differing only by the space dimension.",Article,2470-0045
Period steady-state identification for a nonlinear front evolution equation using genetic algorithms,"Khalfi, H ; Alaa, NE ; Guedda, M",2018,INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATIONarrow_drop_down, EQUILIBRIUM front evolution ; period identification ; steady states ; stationary configuration ; coarsening dynamics ; nonlinear PDEs ; molecular beam epitaxy ; genetic algorithms,4,10.1504/IJBIC.2018.10015893,"In molecular beam epitaxy, it is known that a planar surface may suffer from a morphological instability in favour to different front pattern formations. In this context, many studies turned their focus to the theoretical and numerical analysis of highly nonlinear partial differential equations which exhibit different scenarios ranging from spatio-temporal chaos to coarsening processes (i.e., an emerging pattern whose typical length scale with time). In this work our attention is addressed toward the study of a highly nonlinear front evolution equation proposed by Csahok et al. (1999) where the unknowns are the periodic steady states which play a major role in investigating the coarsening dynamics. Therefore the classical methods of Newton or a fixed point type are not suitable in this situation. To overcome this problem, we develop in this paper a new approach based on heuristic methods such as genetic algorithms in order to compute the unknowns.",Article,1758-0366
Exact similarity solutions for forced convection flow over horizontal plate in saturated porous medium with temperature-dependent viscosity,"Guedda, M ; Benlahsen, M ; Sriti, M ; Achemlal, D",SEP 5 2017,EUROPEAN PHYSICAL JOURNAL PLUSarrow_drop_down, BOUNDARY-LAYER-FLOW ; NON-DARCY FREE ; VARIABLE VISCOSITY ; VERTICAL SURFACE ; HEAT-TRANSFER ; ADJACENT,0,10.1140/epjp/i2017-11652-0,"In this paper, we revisit a mathematical model representing a two-dimensional forced convection boundary-layer flow over a horizontal impermeable plate with a variable heat flux and viscosity. It is assumed that the fluid viscosity varies as an inverse linear function of temperature, the free stream velocity varies as an inverse linear of x and the wall heat flux varies with x as x.; where lambda > -1 and x measures the distance along the surface. Analytical local similarity solutions are presented which reveal that there are two competing effects: lambda and theta(e); where theta(e) is the variable viscosity parameter. It has been shown that for.e > 0 dual solutions exist and boundary separation occurs, while a unique local similarity solution exists for any theta(e) < 0.",Article,2190-5444
Analytical results for the wrinkling of graphene on nanoparticles,"Guedda, M ; Alaa, N ; Benlahsen, M",OCT 17 2016,PHYSICAL REVIEW Earrow_drop_down, ELECTRONICS,2,10.1103/PhysRevE.94.042806,"A continuum elastic model, describing the wrinkling instability of graphene on substrate-supported silica nanoparticles [M. Yamamoto et al., Phys. Rev. X 2, 041018 (2012)], is analytically studied, and an exact analytical expression of the critical nanoparticle separation or the maximum wrinkle length is derived. Our findings agree with the scaling property of Yamamoto et al. but improve their results. Moreover, from the elastic model we find a pseudomagnetic field as a function of the wrinkling deflection, leading to the conclusion that the middle of the wrinkled graphene may have a zero pseudomagnetic field, in marked contrast with previous results.",Article,2470-0045
"Analytical and ChPDM analysis of MHD mixed convection over a vertical flat plate emdedded in a porous medium filled with water at 4°C (vol 35, pg 5182, 2011)","Guedda, M ; Aly, EH ; Ouahsine, A",JUL 2016,APPLIED MATHEMATICAL MODELLINGarrow_drop_down,,1,10.1016/j.apm.2016.03.023,"This Erratum concerns the correction of the momentum equation (3) in [1] and then, Eqs. (9), (13) and (16). This correction does not affect in any way the validity of the mathematical analysis of the rest of the original version of the paper [1].",Correction,0307-904X
Rheological properties of a vesicle suspension,"Guedda, M ; Benlahsen, M ; Misbah, C",NOV 14 2014,PHYSICAL REVIEW Earrow_drop_down, SHEAR ; DYNAMICS ; DEFORMATION ; MOTION,3,10.1103/PhysRevE.90.052302,"The rheological behavior of a dilute suspension of vesicles in linear shear flow at a finite concentration is analytically examined. In the quasispherical limit, two coupled nonlinear equations that describe the vesicle orientation in the flow and its shape evolution were derived [Phys. Rev. Lett. 96, 028104 (2006)] and serve here as a starting point. Of special interest is to provide, for the first time, an exact analytical prediction of the time-dependent effective viscosity eta(eff) and normal stress differences N-1 and N-2. Our results shed light on the effect of the viscosity ratio lambda (defined as the inner over the outer fluid viscosities) as the main controlling parameter. It is shown that eta(eff), N-1, and N-2 either tend to a steady state or describe a periodic time-dependent rheological response, previously reported numerically and experimentally. In particular, the shear viscosity minimum and the cusp singularities of eta(eff), N-1, and N-2 at the tumbling threshold are brought to light. We also report on rheology properties for an arbitrary linear flow. We were able to obtain a constitutive law in a closed form relating the stress tensor to the strain rate tensor. It is found that the resulting constitutive markedly contrasts with classical laws known for other complex fluids, such as emulsions, capsule suspensions, and dilute polymer solutions (Oldroyd B model). We highlight the main differences between our law and classical laws.",Article,1539-3755
Natural convection on a vertical plate in a saturated porous medium with internal heat generation,"Guedda, M ; Sriti, M ; Achemlal, D",AUG 15 2014,EUROPEAN PHYSICAL JOURNAL PLUSarrow_drop_down, LATERAL MASS FLUX ; BOUNDARY-LAYER,3,10.1140/epjp/i2014-14170-7,"The main goal of this paper is to re-exam a class of exact solutions for the two-dimensional free convection boundary layers induced by a heated vertical plate embedded in a saturated porous medium with an exponential decaying heat generation. The temperature distribution of the plate has been assumed to vary as a power of the axial coordinate measured from the leading edge of the plate and subjected to an applied lateral mass flux. The boundary layer equations are solved analytically and numerically using a fifth-order Runge-Kutta scheme coupled with the shooting iteration method. As for the classical problem without internal heat generation, it is proved that multiple (unbounded) solutions arise for any -1/3 <= m < 0 and for any suction/injection parameter. For such solutions, the asymptotic behavior as the similarity variable approaches infinity is determined.",Article,2190-5444
EXACT WAVEFRONTS AND PERIODIC PATTERNS IN A COMPETITION SYSTEM WITH NONLINEAR DIFFUSION,"Guedda, M ; Kersner, R ; Klincsik, M ; Logak, E",AUG 2014,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES Barrow_drop_down, TRAVELING-WAVES Periodic solutions ; pattern formation ; solutions in closed form ; traveling wave solutions ; degenerate parabolic equations ; competition system,2,10.3934/dcdsb.2014.19.1589,"We consider a two-species competition system with nonlinear diffusion and exhibit exact solutions of the system. We first show the existence of spatially stationary solutions that are periodic patterns. In a particular case, we also provide a time-dependent solution that approximates this periodic solution. We also show that the system may sustain unbounded wavefronts above the coexistence equilibrium. In the case of equal intrinsic growth rates, we give a sharp wavefront solution with semi-finite support.",Article,1531-3492
