Titre de l’article,Mots-clés,Résumé,issn,Titre de journal,sjr_score
Analytic self-similar solutions of the kardar-parisi-zhang interface growing equation with various noise terms," growth , waves , model self-similar solution , kpz equation , gaussian noise , lorentzian noise , special functions , heun functions","The one-dimensional kardar-parisi-zhang dynamic interface growth equation with the self-similar ansatz is analyzed. as a new feature additional analytic terms are added. from the mathematical point of view, these can be considered as various noise distribution functions. six different cases were investigated among others gaussian, lorentzian, white or even pink noise. analytic solutions are evaluated and analyzed for all cases. all results are expressible with various special functions like kummer, heun, whittaker or error functions showing a very rich mathematical structure with some common general characteristics.",13926292,Mathematical modelling and analysis,0.481
Uniform boundedness and extinction results of solutions to a predator-prey system," model reaction-diffusion , global existence , positivity , predator-prey , extinction of solutions","Global existence, positivity, uniform boundedness and extinction results of solutions to a system of reaction-diffusion equations on unbounded domain modeling two species on a predator-prey relationship is considered.",14173875,Electronic journal of qualitative theory of differential equations,0.478
Convergence to equilibrium of a dc algorithm for an epitaxial growth model," backward euler scheme , energy stable scheme , thin-film model , slope selection thin film epitaxy , dc programming , coarsening dynamics , lojasiewicz-simon inequality , epitaxial growth , model without slope selection , fourier spectral method , convergence to equilibrium , pattern formation","A linear numerical scheme for an epitaxial growth model is analyzed in this work. the considered scheme is already established in the literature using a convexity splitting argument. we show that it can be naturally derived from an optimization viewpoint using a dc (difference of convex functions) programming framework. moreover, we prove the convergence of the scheme towards equilibrium by means of the lojasiewicz-simon inequality. the fully discrete version, based on a fourier collocation method, is also analyzed. finally, numerical simulations are carried out to accommodate our analyzis.",17055105,International journal of numerical analysis and modeling,0.594
Exact similarity solutions for forced convection flow over horizontal plate in saturated porous medium with temperature-dependent viscosity," boundary-layer-flow , non-darcy free , variable viscosity , vertical surface , heat-transfer , adjacent","In this paper, we revisit a mathematical model representing a two-dimensional forced convection boundary-layer flow over a horizontal impermeable plate with a variable heat flux and viscosity. it is assumed that the fluid viscosity varies as an inverse linear function of temperature, the free stream velocity varies as an inverse linear of x and the wall heat flux varies with x as x.; where lambda > -1 and x measures the distance along the surface. analytical local similarity solutions are presented which reveal that there are two competing effects: lambda and theta(e); where theta(e) is the variable viscosity parameter. it has been shown that for.e > 0 dual solutions exist and boundary separation occurs, while a unique local similarity solution exists for any theta(e) < 0.",21905444,European physical journal plus,0.473
"Analytical and chpdm analysis of mhd mixed convection over a vertical flat plate emdedded in a porous medium filled with water at 4°c (vol 35, pg 5182, 2011)",,"This erratum concerns the correction of the momentum equation (3) in [1] and then, eqs. (9), (13) and (16). this correction does not affect in any way the validity of the mathematical analysis of the rest of the original version of the paper [1].",0307904X,Applied mathematical modelling,1.000
Rheological properties of a vesicle suspension," shear , dynamics , deformation , motion","The rheological behavior of a dilute suspension of vesicles in linear shear flow at a finite concentration is analytically examined. in the quasispherical limit, two coupled nonlinear equations that describe the vesicle orientation in the flow and its shape evolution were derived [phys. rev. lett. 96, 028104 (2006)] and serve here as a starting point. of special interest is to provide, for the first time, an exact analytical prediction of the time-dependent effective viscosity eta(eff) and normal stress differences n-1 and n-2. our results shed light on the effect of the viscosity ratio lambda (defined as the inner over the outer fluid viscosities) as the main controlling parameter. it is shown that eta(eff), n-1, and n-2 either tend to a steady state or describe a periodic time-dependent rheological response, previously reported numerically and experimentally. in particular, the shear viscosity minimum and the cusp singularities of eta(eff), n-1, and n-2 at the tumbling threshold are brought to light. we also report on rheology properties for an arbitrary linear flow. we were able to obtain a constitutive law in a closed form relating the stress tensor to the strain rate tensor. it is found that the resulting constitutive markedly contrasts with classical laws known for other complex fluids, such as emulsions, capsule suspensions, and dilute polymer solutions (oldroyd b model). we highlight the main differences between our law and classical laws.",15393755,Physical review e,N/A
Natural convection on a vertical plate in a saturated porous medium with internal heat generation," lateral mass flux , boundary-layer","The main goal of this paper is to re-exam a class of exact solutions for the two-dimensional free convection boundary layers induced by a heated vertical plate embedded in a saturated porous medium with an exponential decaying heat generation. the temperature distribution of the plate has been assumed to vary as a power of the axial coordinate measured from the leading edge of the plate and subjected to an applied lateral mass flux. the boundary layer equations are solved analytically and numerically using a fifth-order runge-kutta scheme coupled with the shooting iteration method. as for the classical problem without internal heat generation, it is proved that multiple (unbounded) solutions arise for any -1/3 <= m < 0 and for any suction/injection parameter. for such solutions, the asymptotic behavior as the similarity variable approaches infinity is determined.",21905444,European physical journal plus,0.473
Exact wavefronts and periodic patterns in a competition system with nonlinear diffusion," traveling-waves periodic solutions , pattern formation , solutions in closed form , traveling wave solutions , degenerate parabolic equations , competition system","We consider a two-species competition system with nonlinear diffusion and exhibit exact solutions of the system. we first show the existence of spatially stationary solutions that are periodic patterns. in a particular case, we also provide a time-dependent solution that approximates this periodic solution. we also show that the system may sustain unbounded wavefronts above the coexistence equilibrium. in the case of equal intrinsic growth rates, we give a sharp wavefront solution with semi-finite support.",15313492,Discrete and continuous dynamical systems-series b,0.655
Membrane compression in tumbling and vacillating-breathing regimes for quasispherical vesicles," shear-flow , fluctuating vesicles , dynamics , rheology , suspension","We derive some analytical results of a well-known model for quasispherical vesicles in a linear shear flow at low deformability. attention is focussed on the oscillatory regimes: the tumbling (tb) mode, vacillating-breathing (vb) mode, and the transition from vacillating-breathing to tumbling, depending on a control parameter gamma. it is shown that, during the vb-to-tb transition (gamma = 1), the vesicle momentarily attains its maximal extension in the vorticity direction and transits through a circular profile in the shear plane for which the radius is exactly determined. in addition, we provide an explicit analytical expression for the effective membrane tension for different types of motions. we find a critical bending number below which the membrane undergoes compression at each instant and show that, during the vb-to-tb transition, a fourth-order membrane deformation is possible.",15393755,Physical review e,N/A
Some remarks on radial solutions of foppl-von karman equations," delamination , plate delamination , foppl-von karman equations , elastic buckling","We study foppl-von karman system (1) that modelize delamination of embedded compressed thin film. we prove that if the radial component of the stress tensor is less then or equal the pre-stress, then system (1) has no nontrivial regular radial solution under suitable boundary clamped conditions. (c) 2012 elsevier inc. all rights reserved.",00963003,Applied mathematics and computation,1.026
Dynamic modes of quasispherical vesicles: exact analytical solutions," simple shear-flow , deformation , capsule , rheology , motion","In this paper we introduce a simple mathematical analysis to reexamine vesicle dynamics in the quasispherical limit (small deformation) under a shear flow. in this context, a recent paper [misbah, phys. rev. lett. 96, 028104 (2006)] revealed a dynamic referred to as the vacillating-breathing (vb) mode where the vesicle main axis oscillates about the flow direction and the shape undergoes a breathinglike motion, as well as the tank-treading and tumbling (tb) regimes. our goal here is to identify these three modes by obtaining explicit analytical expressions of the vesicle inclination angle and the shape deformation. in particular, the vb regime is put in evidence and the transition dynamics is discussed. not surprisingly, our finding confirms the keller-skalak solutions (for rigid particles) and shows that the vb and tb modes coexist, and whether one prevails over the other depends on the initial conditions. an interesting additional element in the discussion is the prediction of the tb and vb modes as functions of a control parameter gamma, which can be identified as a tb-vb parameter.",15393755,Physical review e,N/A
Similarity solutions of mhd flows in a saturated porous medium," boundary-layer approximations , heat-transfer , flat-plate , free-convection , differential-equations , stretching surface , hydromagnetic flow , temperature , sheet porous media , mhd flow , self-similarity , multiple solutions","In this paper mathematical and numerical analyses are presented to investigate self-similarity solutions of a two-dimensional mhd boundary layer flow over a permeable surface. required boundary conditions to obtain a similarity solution, are detailed. in the case of the nonlinear density temperature (not) parameter, the self-similarity solution may be multiple, and the requirement of appropriate conditions of the model control parameters, provides a global similarity solution. we will explain the underlying conditions for the existence of a solution, which leads to multiple solutions in the general case. we also give some numerical results to show the mhd influence on the solution stability. (c) 2012 elsevier masson sas. all rights reserved.",09977546,European journal of mechanics b-fluids,0.638
Semilinear heat equation with absorption and a nonlocal boundary condition," blow-up , parabolic equations , burgers-equation , behavior , uniqueness , system semilinear parabolic equation , nonlocal boundary condition , uniqueness","We consider a semilinear parabolic equation u(t) = delta u - c(x, t)u(p) for (x, t) is an element of omega x (0, t) with nonlinear and nonlocal boundary condition u vertical bar(partial derivative omega) (x [0,t]) = integral(omega)k(x, y, t)u(1) dy and nonnegative initial data where p > 0 and l > 0. we first establish local existence theorem and comparison principle. then we prove uniqueness of solutions with trivial initial datum for (p + 1)/2 < l < 1, with nonnegative initial data for l >= 1, with positive initial data under the conditions l < 1, p >= 1 as well as positive in <(q)over bar>(t) solutions if max(p, l) < 1, nonuniqueness of solution with trivial initial datum for l < min{1, (p+1)/2}.",00036811,Applicable analysis,0.551
Steady state solutions to the conserved kuramoto-sivashinsky equation," conserved kuramoto-sivashinsky equation , crystal growth , stationary periodic solution","We study stationary solutions to the conserved kuramoto-sivashinsky equation
d(t)(h) + delta(2)(y)(f alpha/48 (f alpha + 12 delta)h + delta(2)(y)h + f/12(delta(h)(y))(2)) = 0.
this equation has recently been proposed to describe the step meandering instability on a vicinal surface. attention is focussed on stationary periodic solutions which are the key for the coarsening process.",18671152,Advances in pure and applied mathematics,0.253
Analytical and chpdm analysis of mhd mixed convection over a vertical flat plate embedded in a porous medium filled with water at 4 °c," boundary-layer-flow , heat-transfer , similarity solutions , stretching surface , hydromagnetic flow , wall temperature , stagnation flow , approximations , equations , flux boundary-layer , porous medium , maximum density , mhd mixed convection , multiple solutions , chpdm","In this research, two-dimensional mixed convection boundary-layer flow over a vertical flat plate embedded in a porous medium saturated with a water at 4 degrees c (maximum density) and an applied magnetic field are investigated theoretically and numerically using the new chebyshev pseudospectral differentiation matrix (chpdm) approach introducing by aly et al. [39]. both cases of the assisting and opposing flows are considered. multiple similarity solutions are obtained under the power law variable wall temperature (vwt), or variable heat flux (vhf), or variable heat transfer coefficient (vhtc). the boundary-layer equations, which are partial differential equations are reduced, via the similarity transformations, to a pair of coupled of nonlinear ordinary differential equations. the resulting problem, which depends on two parameters, namely m, vwt (or vhf, or vhtc) parameter and xi, the magnetohydrodynamic (mhd) mixed convection parameter, is analyzed analytically. comparing with the other researcher's results, it is found, under vwt condition, that the problem has multiple similarity solutions for -1/4 < m < 0 and xi > 0 (assisting flows). solutions for xi >> 1 (free convection), xi = 0 (forced convection) and 1 < xi < 0 (opposing flows) are also deduced. chpdm approach is applied to validate and evidence the current analytical analysis. (c) 2011 elsevier inc. all rights reserved.",0307904X,Applied mathematical modelling,1.000
Exact steady states to a nonlinear surface growth model," molecular-beam epitaxy , vicinal surfaces , crystal-growth , evolution , dynamics , instabilities , fluctuations , equilibrium , equation , si(001)","We report on exact stationary solutions to a nonlinear evolution equation describing the collective step meander on a vicinal surface subject to the bales-zangwill growth instability [o. pierre-louis et al., phys. rev. lett. 80, 4221 (1998)]. firstly, attention is focused on periodic solutions (steady states) which admit vertical points (or diverging local slopes). such solutions, which are determined by a theoretical analysis, reveal that the nonlinear evolution equation may admit a non stationary solution with spike singularities or/and caps (dead-core solution) at maxima or/and minima. in a second part, steady states are, mathematically, generalized to a family of evolution equations. finally, the effect of smoothening by step-edge diffusion is also revisited.",14346028,European physical journal b,0.383
Non-newtonian pseudoplastic fluids: analytical results and exact solutions," boundary-layer equations , flows , surfaces boundary-layers , non-newtonian power-law fluids , pseudosimilarity , similarity , translation groups , integral equation method","A one layer model of laminar non-newtonian fluids (ostwald-de wade model) past a semi-infinite flat plate is revisited. the stretching and the suction/injection velocities are assumed to be proportional to x(1/(1-2n)) and x(-1), respectively, where n is the power-law index which is taken in the interval (0, 1/2). it is shown that the boundary-layer equations display both similarity and pseudosimilarity reductions according to a parameter gamma, which can be identified as suction/injection velocity. interestingly, it is found that there is a unique similarity solution, which is given in a closed form, if and only if gamma = 0 (impermeable surface). for gamma not equal 0 (permeable surface) we obtain a unique pseudosimilarity solution for any 0 not equal gamma >= -((n+1)/3n(1-2n))(n/(n+1)). moreover, we explicitly show that any pseudosimilarity solution exhibits similarity behavior and it is, in fact, similarity solution to a modified boundary-layer problem for an impermeable surface. in addition, the exact similarity solution of the original boundary-layer problem is used, via suitable transverse translations, to construct new explicit solutions describing boundary-layer flows induced by permeable surfaces. (c) 2011 elsevier ltd. all rights reserved.",00207462,International journal of non-linear mechanics,0.800
Blow-up problem for semilinear heat equation with absorption and a nonlocal boundary condition," parabolic equations , burgers-equation , behavior semilinear heat equation , nonlocal boundary condition , blow-up","In this paper we consider a semilinear parabolic equation u(t) =delta u - c (x, t)u(p) for (x, t) is an element of omega x (0, infinity) with nonlinear and nonlocal boundary condition u vertical bar(partial derivative omega x (0, infinity)) = f(omega) k(x, y, t)u(l)dy and nonnegative initial data where p > 0 and l > 0. we prove some global existence results. criteria on this problem which determine whether the solutions blow up in finite time for large or for all nontrivial initial data are also given. (c) 2011 elsevier ltd. all rights reserved.",0362546X,Nonlinear analysis-theory methods & applications,1.278
Similarity solutions to evolution equations in one-dimensional interfaces," thin-film growth , surfaces , dynamics nonlinear dynamic , instability , similarity solution , coarsening","In this note, we study the evolution equation
partial derivative(t)h = -nu partial derivative(2)(x)h - k partial derivative(4)(x)h + lambda(1)(partial derivative(x)h)(2) - lambda(2)partial derivative(2)(x)(partial derivative(x)h)(2).
which was introduced by munoz-garcia [9] in the context of erosion by ion beam sputtering. we obtain an analytic solution that has the similarity form, which is used in obtaining the coarsening behavior. this solution has amplitude and wavelength that increase like ln(t) and root t ln(t), respectively.",10726691,Electronic journal of differential equations,0.415
Similarity solutions of the rayleigh problem for ostwald-de wael electrically conducting fluids," boundary-layer-flow , non-newtonian fluid compactly supported solution , conducting fluid , degenerate differential equation , global existence , power-law viscosity , rayleigh problem , similarity solution","We investigate in the present paper the magnetic rayleigh problem, where a semi-infinite flat plate is moving with a power-law velocity, in a non-newtonian power-law fluid (ostwald-de wael model). the non-stationary flow of this electrically conducting fluid in a transverse magnetic field is then analyzed. the solutions of this problem are obtained by means of similarity techniques. the main goal, is to investigate existence, uniqueness and behavior of such solutions, according to the values of the physical parameters.",02195305,Analysis and applications,0.986
Coarsening in an interfacial equation without slope selection revisited: analytical results," growth , epitaxy nonlinear dynamics , instability , similarity solutions , coarsening","In this letter, we re-examen a one-dimensional model of epitaxial growth that describes pyramidal structures characterized by the absence of a preferred slope [l. golubovic phys. rev. lett. 78 (1997) 90]. a similarity approach shows that the typical mound lateral size and the interfacial width growth with time like t(1/2) and t(1/4), respectively. this result was previously presented by golubovic. our contribution provides a mathematical justification for the existence of similarity solutions which correspond to, or predict, the typical coarsening process. (c) 2010 elsevier b.v. all rights reserved.",03759601,Physics letters a,0.483
Effect of step stiffness and diffusion anisotropy on dynamics of vicinal surfaces: a competing growth process," nonlinear evolution , instability","We re-examine the step meandering instability which is described in term of solutions to the conserved kuramoto-sivashinsky (cks) equation [frisch and verga, phys. rev. lett. 96, 166104 (2006)]. a free-boundary approach is used to exhibit a class of exact solutions that may give a reasonable description of the observed characteristic features of the instability. different scenarios are found: the characteristic lateral coarsening (i) grows with time like root t (typical behavior), (ii) disappears, (iii) or does not change for all time (localization in space), depending on the initial transverse meandering amplitude k(0), or the initial typical height. those regimes are compared by the numerical simulations presented in the literature. for case (ii) the collapsing time is expressed as an algebraic function of k(0).",24699950,Physical review b,1.345
Multiple positive solutions to a singular boundary value problem for a superlinear emden-fowler equation," exact analytic solutions , traveling-wave solutions , nonlinear odes , differential-equations , asymptotic-behavior , parabolic equations , unsolvable classes , unique solution , layer , bifurcation ordinary differential equation , second order , singular boundary value problem , multiple positive solutions , asymptotic behavior","A multiplicity result for the singular ordinary differential equation y '' + lambda x(-2)y(sigma) = 0, posed in the interval (0, 1), with the boundary conditions y(0) = 0 and y(1) = gamma, where sigma > 1, lambda > 0 and gamma >= 0 are real parameters, is presented. using a logarithmic transformation and an integral equation method, we show that there exists sigma* is an element of (0, sigma/2] such that a solution to the above problem is possible if and only if lambda gamma(sigma-1) <= sigma*. for 0 < lambda gamma(sigma-1) < sigma*, there are multiple positive solutions, while if gamma = (lambda(-1) sigma*)(1/(sigma-1)) the problem has a unique positive solution which is monotonic increasing. the asymptotic behavior of y(x) as x -> 0(+) is also given, which allows us to establish the absence of positive solution to the singular dirichlet elliptic problem -delta u = d(x)(-2)u(sigma) in omega, where omega subset of r(n), n >= 2, is a smooth bounded domain and d(x) = dist(x, partial derivative omega). (c) 2008 elsevier inc. all rights reserved.",0022247X,Journal of mathematical analysis and applications,0.816
Boundary-layer equations for a power-law shear-driven flow over a plane surface of non-newtonian fluids, scaling laws,"We study the boundary-layer similarity flow driven over a semi-infinite flat plate by a power-law shear with asymptotic velocity profile u (e) (y) = beta y (alpha) (y -> az, beta > 0), for fluids both newtonian and non-newtonian. theoretical analysis is reported to derive a range of exponents alpha and amplitudes beta for which similarity solutions exist. the shear stress parameter f''(0) is determined as a function of alpha and beta.",00015970,Acta mechanica,0.558
The generalized blasius equation revisited," laminar boundary-layer , power-law fluids , differential-equations , heat-transfer , film flow non-newtonian fluids , boundary-layer , blasius equation , degenerate differential equation , crocco transformation","The main subject of this paper is the model (vertical bar f ''vertical bar(n-1) f '')' + 1/n+1 f f '' = 0, f(0) = f'(0) = 0, f'(infinity) = 1, arising in the study of a 2d laminar boundary-layer with power-law viscosity, f = f (eta) is the non-dimensional stream function and n > 0. besides proving the existence and uniqueness results, we investigate the precise behavior of f for small and large eta. in particular, for n > 1 we show that f (eta) is linear for eta >= eta(0) > 0. this means that in original (x, y) coordinates, the domain y >= a(0)x(1/n+1), a(0) = const., the velocities u = const., v = 0 and the boundary-layer is the domain y < a(0)x(1/n+1) (""spatial localization of the layer""). (c) 2007 elsevier ltd. all rights reserved.",08957177,Mathematical and computer modelling,0.516
A kpz growth model with possibly unbounded data: correctness and blow-up," hamilton-jacobi equations , global existence , cauchy-problem , decay kpz equation , surface growth , viscous hamilton-jacobi equation , self-similar blow-up solutions",Existence and uniqueness results for initial value problem with a given growth condition (upper bound) on the initial datum for the so-called generalized deterministic kpz (kardar-parisi-zhang) equation u(t) = u(xx) + lambda vertical bar u-x vertical bar(q) are obtained. self-similar blow-up solutions are investigated also. (c) 2007 elsevier ltd. all rights reserved.,0362546X,Nonlinear analysis-theory methods & applications,1.278
Asymptotic behavior of the unbounded solutions to some degenerate boundary layer equations revisited," power-law fluids , similarity solutions boundary-layer , non-newtonian fluids , degenerate differential equation , asymptotic behavior","We reconsider the boundary-layer flow of a non-newtonian fluid corresponding to the classical ostwald de waele power-law model. the physical problem can be described in terms of solutions of the degenerate differential equation
(vertical bar f ''vertical bar(n-1) f '')' + ff '' - beta f'(2) = 0,
posed on the interval (0,infinity), in which beta < 0 and the real number (the power law index) n >= 1. this paper deals with the asymptotic behavior of any global unbounded solution; that is a solution satisfying
lim(eta ->infinity) vertical bar f(n)vertical bar = infinity.",0003889X,Archiv der mathematik,0.455
A note on boundary-layer similarity flows driven by a power-law shear over a plane surface," scaling laws , porous-media boundary layers , shear driven , similarity solutions , stretching surfaces","The boundary-layer similarity flow driven over a semi-infinite flat plate by a power-law shear with asymptotic velocity profile u(e)(y) = beta y(a) (y -> infinity, beta > 0) is considered. theoretical analysis is reported to derive a range of exponents alpha and amplitudes beta for which similarity solutions exist. the shear stress f"" (0) parameter is determined as a function of alpha and beta. (c) 2007 the japan society of fluid mechanics and elsevier b.v. all rights reserved.",01695983,Fluid dynamics research,0.322
Similarity solutions of a mhd boundary-layer flow past a continuous moving surface," heat-transfer , hydromagnetic flow , vertical surface , free-convection , differential-equations , stretching surface , approximations , plate , suction , sheet boundary-layer , porous media , similarity solutions , existence , non-existence , multiple solutions","This note deals with a theoretical and numerical analysis of multiple similarity solutions of the two-dimensional mhd boundary-layer flow over a permeable surface, with a power law stretching velocity, in the presence of a magnetic field b applied normally to the surface. we have taken the free stream velocity to vary as x(m), where x is the coordinate along the plate measured from the leading edge and m is a constant. the magnetic field b is assumed to be proportional to xm-1/2. the problem depends on the power law exponent and the magnetic parameter m or the stewart number. it is shown, under certain circumstance, that the problem has an infinite number of solutions. (c) 2007 elsevier ltd. all rights reserved.",00207225,International journal of engineering science,1.625
On singular solutions of a magnetohydrodynamic nonlinear boundary layer equation," boundary-layer equation , mhd flow , blowing-up solutions , asymptotic behavior","This paper concerns the singular solutions of the equation
f""' vertical bar kappa ff '' - beta f'(2) = 0,
where beta < 0 and kappa = 0 or 1. this equation arises when modelling heat transfer past a vertical flat plate embedded in a saturated porous medium with an applied magnetic field. after suitable normalization, f' represents the velocity parallel to the surface or the non-dimensional fluid temperature. our interest is in solutions which develop a singularity at some point (the blow-up point). in particular, we shall examine in detail the behavior of f near the blow-up point.",10726691,Electronic journal of differential equations,0.415
Similarity solutions of differential equations for boundary layer approximations in porous media," free-convection , plate boundary layer , porous media , similarity solutions , existence , blowing up solutions , non-uniqueness , blasius equation , asymptotic behaviour","This paper is concerned with the ordinary differential equation
f''' + mff"" _ alpha f'(2) = 0:
on (0, +infinity), subject to the boundary conditions
f (0) = a, f'(0) = b, f'(infinity) = lim(t-->infinity) f'(t) = 0,
in which a and b are reals, m > 0 and alpha < 0. such problem, with m = alpha+1/2,a = 0 and b = 1, arises in the study of the free convection, along a vertical flat plate embedded in a porous medium.
the analysis deals with existence, non-uniqueness and large-t behaviour of solutions of the above problem under favourable conditions on m, alpha, a and b.",00442275,Zeitschrift fur angewandte mathematik und physik,0.931
Asymptotic properties of solutions of the viscous hamilton-jacobi equation," nonlinear parabolic equation , singular solutions , global existence , heat-equation , decay , mass viscous hamilton-jacobi equation , selfsimilar solutions , asymptotic behavior","The purpose of the paper is to study properties of solutions of the cauchy problem for the equation u(t) - deltau + \delu\(q) = 0 under the assumption (n +2)/(n + 1) < q < 2. general selfsimilar solutions are constructed. moreover, for initial data with some decay at infinity, we determine the leading term of the asymptotics of solutions in l-p (r-n) which is described by either solutions of the linear heat equation or by particular selfsimilar solutions of the original equation.",14243199,Journal of evolution equations,1.195
The cauchy problem for ut = udeltau+|delu|q," hamilton-jacobi equations , global existence , decay , growth , mass surface growth , kpz equation , viscous hamilton-jacobi equation , nonlinear , parabolic , existence , uniqueness , regularity","With q a positive real number, the nonlinear partial differential equation in the title of the paper arises in the study of the growth of surfaces. in that context it is known as the generalized deterministic kpz equation. the paper is concerned with the initial-value problem for the equation under the assumption that the initial-data function is bounded and continuous. results on the existence, uniqueness, and regularity of solutions are obtained. (c) 2003 elsevier inc. all rights reserved.",0022247X,Journal of mathematical analysis and applications,0.816
Blow up of solutions to semilinear wave equations," global-solutions blow up , conformal compactification","This work shows the absence of global solutions to the equation
[graphics]
in the minkowski space m-0 = r x r-n, where m > 1, (n - 1)m < n + 1, and p is a conformal factor approaching 0 at infinity. using a modification of the method of conformal compactification, we prove that any solution develops a singularity at a finite time.",10726691,Electronic journal of differential equations,0.415
Self-similar solutions to the generalized deterministic kpz equation," surface growth , kpz equation , self-similar solutions , global existence","Geometric properties of shape functions of self-similar solution to the equation u(t) = u(xx) + lambda\ux\(q) are studied, lambda and q are positive numbers. these shapes-the solutions of the corresponding nonlinear ode-are of very different nature. the properties usually depend on three critical values of q (1; 3/2 and 2). for the range 1 < q < 2 the dependence of lambda is more remarkable, for example there is no global existence in general.",10219722,Nodea-nonlinear differential equations and applications,0.983
Nonuniqueness of solutions to differential equations for boundary-layer approximations in porous media," similarity solutions , free-convection , plate porous media , boundary layer , existence and nonuniqueness","The free convection, along a vertical flat plate embedded in a porous medium, can be described in terms of solutions to f''' + alpha+1/2 f f"" - alpha f'(2) = 0, for all t is an element of (0, +infinity). the purpose of this note is to study the nonuniqueness of solutions to this problem, with the initial conditions, f (0) = a is an element of r and f'(0) is an element of {0, 1}, where alpha is an element of (-1/3, 0). no assumption at infinity is imposed. we show that this problem has an infinite number of unbounded global solutions. moreover, we prove that the first and the second derivative of solutions tend to 0 as t approaches infinity.",16310721,Comptes rendus mecanique,0.250
A note on nonexistence of radial solutions to semilinear elliptic inequations," singular solutions radial solution , existence , blow up , classification , elliptic inequation","We study the nonexistence result of radial solutions to -deltau + c u/\x\(2) + \x\(sigma)\u\(q)u less than or equal to 0 posed in b or in b \ {0} where b is the unit ball centered at the origin in r-n, n greater than or equal to 3. moreover, we give a complete classification of radial solutions to the problem -deltau + c u/\x\(2) + \x\(sigma)\u\(q)u = 0. in particular we prove that the latter has exactly one family of radial solutions.",02141493,Publicacions matematiques,N/A
Note on the uniqueness of a global positive solution to the second painleve equation," second painleve equation , neumann condition , global existence","The purpose of this note is to study the uniqueness of solutions to u"" - u(3) + (t - c) u = 0, for t is an element of ( 0; + infinity) with neumann condition at 0. assuming a certain conditon at in finity, helfer and weissler [6] have found a unique solution. we show that, without any assumptions at in finity, this problem has exactly one global positive solution. moreover, the solution behaves like root t as t approaches in finity.",10726691,Electronic journal of differential equations,0.415
Source-type solution for the one-dimensional diffusion-convection equation, behavior,"This paper is concerned with the equation u(t) = \ u(x)\(p-2)u(x))(x) - (u(q))(x), (where p > 2 and q > 1. we study the geometric properties of fundamental solutions for q = 2(p - 1). we show that problem (0.1) is reduced to the following for all eta epsilon r, subject that y has a finite mass. a results of existence, uniqueness and properties of support of solutions to (0.2) are obtained for all rang q > 1. finally we give a complete classification for q > 2. in particular we show that equation (0.2) has a unique global solution with infinite mass, for q > p - 1.\ y'\(p-2)y' = y(q) - beta eta y.",10219722,Nodea-nonlinear differential equations and applications,0.983
Diffusion terms in systems of reaction diffusion equations can lead to blow up,,We present a system of reaction diffusion equations posed in r in which the diffusion terms are responsible for the finite time blow up of its solutions. (c) 1998 academic press.,0022247X,Journal of mathematical analysis and applications,0.816
Length bilevel learning approach for nonlocal p-laplacien image deblurring with variable weights parameter w(x)☆ ( x )," image deblurring , nonlocalp-laplacien , bilevel optimization , weights learning","This manuscript introduces an innovative bilevel optimization approach designed to improve the deblurring process by incorporating a nonlocal p-laplacien model with variable weights. the study includes a theoretical analysis to examine the model's solution, and an effective algorithm is devised for computing the pristine image, incorporating the learning of parameters associated with weights and nonlocal regularization terms. by carefully selecting these parameters, the suggested nonlocal deblurring model demonstrates superior effectiveness and performance when compared to other existing models.",10473203,Journal of visual communication and image representation,0.671
Enhancing deblurring through optimal controlled bilevel with nonlocal weighted model," image , regularization image deblurring , nonlocal regularization , bilevel optimization , pa- rameter learning",". this paper presents a novel bilevel optimization procedure for enhancing the deblurring process using a weights variable nonlocal model. theoretical analysis is conducted to study the solution of the model, and an efficient algorithm is developed to compute the clean image while learning the weights parameter and the nonlocal regularization term parameter are conducted. through meticulous parameter selection, the proposed nonlocal deblurring model exhibits superior effectiveness and performance in comparison to other existing models.",21568472,Mathematical control and related fields,0.653
On the numerical approximation of some inverse problems governed by nonlinear delay differential equation," identification inverse problem , delay differential equation , necessary optimality conditions , numerical approximation , parallel evolutionary algorithms","The paper deals with the approximate solving of an inverse problem for the nonlinear delay differential equation, which consists of finding the initial moment and delay parameter based on some observed data. the inverse problem is considered as a nonlinear optimal control problem for which the necessary conditions of optimality are formulated and proved. the obtained optimal control problem is solved by a method based on an improved parallel evolutionary algorithm. the efficiency of the proposed approach is demonstrated through various numerical experiments.",03990559,Rairo-operations research,0.438
An improved spatially controlled reaction-diffusion equation with a non-linear second order operator for image super-resolution," bilevel programs , regularization , decomposition multi-frame super-resolution , non-linear pde , tensor diffusion","In this work, we introduce an efficient second-order reaction-diffusion (r.d.) equation for noise removal and image super-resolution. the main idea is to decompose the image into two components: cartoon and texture parts using a new spatially controlled diffusion obtained by incorporating into r.d. equation an anti-diffusion effect modelled by a space dependent parameter gamma. hence, the proposed equation leads to a noticeable improvement in texture structure preservation. moreover, we demonstrate an existence result of global solutions and analyse the asymptotic behaviour of the equation. furthermore, an approximation of the sensitive parameter gamma is established using a learning optimization technique. as a result, the anti-diffusion parameter gamma can be efficiently computed to increase the quality of the restored image and preserve its texture. the proposed approach is tested and validated using multiple numerical experiments alongside a comparison with some competitive methods for a variety of applications including image de-noising, decomposition and super-resolution. (c) 2021 elsevier ltd. all rights reserved.",14681218,Nonlinear analysis-real world applications,1.163
