Titre de l'article,Titre de source,Résumé,ISSN,SJR
Qualitative analysis for a diffusive predator-prey model with hunting cooperation and holling type III functional response,Mathematical Modelling of Natural Phenomena,"The Spatio-temporal pattern induced by self-diffusion of a predator-prey model with Boiling type III functional response that incorporates the hunting cooperation between predators has been investigated in this paper. For the local model without structure, the stability of non-negative equilibria with or without collaborative hunting in predators is studied. For the Spatio-temporal model, we analyze the effect of hunting cooperation term on diffusion-driven Turing instability of the homogeneous positive equilibria. To get an idea about patterns formation near the Turing bifurcation, we derive and give a detailed study of the amplitude equation using the multiple-scale analysis. Our result shows that hunting cooperation plays a crucial role in determining the stability and the Turing bifurcation of the model, which is in sharp contrast to the case without cooperation in hunting. Furthermore, some numerical simulations are …","09735348, 17606101",2.544
The effect of time delay and Hopf bifurcation in a tumor-immune system competition model with negative immune response,Applicationes Mathematicae,"We consider a system of delay differential equations modelling the tumor-immune system competition with negative immune response and three positive stationary points. The dynamics of the first two positive solutions are studied in terms of the local stability. We are particularly interested in the study of the Hopf bifurcation problem to predict the occurrence and stability of a limit cycle bifurcating from the second positive stationary point, when the delay (taken as a parameter) crosses some critical values. The results obtained provide the oscillations given by the numerical study given in Galach (2003).","12337234, 17306280",0.0
Complex Dynamics in a Delayed Spatio-Temporal Model of Virus Infection and Immune Response,Journal of Applied Nonlinear Dynamics,"In this paper, we study a delayed spatio-temporal mathematical model which modeling the spreading of viral infection in the tissues and the activation of virus-specific T lymphocytes with a new explicit virus load function``bi-phasic and tri-phasic"". The model is given in reaction diffusion systems with two delays which represent the local interaction and the propagation of the virus in tissues. The reduced and layer subsystems are studied and we establish that the slow manifold is an attracting one. We prove that the diffusion has no effect on the dynamics of the system, but time delays can modify the dynamics of the system with/without diffusion. Numerical simulations are carried out to illustrate such situations.","21646457, 21646473",0.705
Dynamics and numerical simulations in a production and development of red blood cells with one delay,International Journal of Tomography & Statistics,"In this paper we study an unstructured model of a cellular population in the spirit of Grabosh and Heijmans [2] model. The cellular population is described by a system of differential equations with one delay. The basic assumption is that the cell population responsible for the production of blood cells consists of three compartments: the stem cells, the precursor cells, and the blood cells. We prove that the model has two possible steady states and their dynamics (depending on time delay) are studied in term of the local stability. We illustrate our results with numerical simulations for some different values of the time delay.","09729976, 09737294",0.0
Generalized traveling waves for time-dependent reaction–diffusion systems,Mathematische Annalen,"Traveling wave solutions in general time-dependent (including time-periodic) reaction–diffusion equations and systems of equations have attracted great attention in the last two decades. The aim of this paper is to study the propagation phenomenon in a general time-heterogeneous environment. More specifically, we investigate generalized traveling wave solutions for a two-component time-dependent non-cooperative reaction–diffusion system which has applications in epidemiology and ecology. Sufficient conditions on the existence and nonexistence of generalized traveling wave solutions are established. In the susceptible-infectious epidemic model setting, generalized traveling waves describe the spatio-temporal invasion of a disease into a totally susceptible population. In the context of predator–prey systems, the generalized traveling waves describe the spatial invasion of predators introduced into …","00255831, 14321807",1.736
Propagation of bursting oscillations,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",We investigate a system of partial differential equations of reaction–diffusion type which displays propagation of bursting oscillations. This system represents the time evolution of an assembly of cells constituted by a small nucleus of bursting cells near the origin immersed in the middle of excitable cells. We show that this system displays a global attractor in an appropriated functional space. Numerical simulations show the existence in this attractor of recurrent solutions which are waves propagating from the central source. The propagation seems possible if the excitability of the neighbouring cells is above some threshold.,"1364503X, 14712962",4.253
Propagation d'ondes dans un milieu excitable: simulations numériques et approche analytique,Université Pierre et Marie Curie-Paris VI,"Dans cette thèse, on s'intéresse à la compréhension qualitative de systèmes d'EDP de type FitzHugh Nagumo. Elle est basée sur les propriétés excitable et oscillante du système d'EDO de type FitzHugh Nagumo lorsqu'on varie la valeur d'un paramètre. Après avoir analysé les propriétés du système d'EDO, on contruit des systèmes d'EDP par couplage de Réaction Diffusion ou opérateur des ondes. La simulation numérique des systèmes montre l'émergence de patterns complexes pertinents en biologie et physiologie. D'un point de vue mathématique, cela correspond à des attracteurs non triviaux, et divers théorèmes y sont montrés.",02408759,0.176
Hopf bifurcation in an oscillatory-excitable reaction–diffusion model with spatial heterogeneity,International Journal of Bifurcation and Chaos,"We focus on the qualitative analysis of a reaction–diffusion model with spatial heterogeneity. The system is a generalization of the well-known FitzHugh–Nagumo system, in which the excitability parameter is space dependent. This heterogeneity allows to exhibit concomitant stationary and oscillatory phenomena. We prove the existence of a Hopf bifurcation and determine an equation of the center-manifold in which the solution asymptotically evolves. Numerical simulations illustrate the phenomenon.","02181274, 17936551",2.088
Periodically kicked feedforward chains of simple excitable FitzHugh–Nagumo neurons,Nonlinear Dynamics,"This article communicates results on regular depolarization cascades in periodically kicked feedforward chains of excitable two-dimensional FitzHugh–Nagumo systems driven by sufficiently strong excitatory forcing at the front node. The study documents a parameter exploration by way of changes to the forcing period, upon which the dynamics undergoes a transition from simple depolarization to more complex behavior, including the emergence of mixed-mode oscillations. Both rigorous studies and careful numerical observations are presented. In particular, we provide rigorous proofs for existence and stability of periodic traveling waves of depolarization, as well as the existence and propagation of a simple mixed-mode oscillation that features depolarization and refraction in alternating fashion. Detailed numerical investigation reveals a mechanism for the emergence of complex mixed-mode oscillations featuring …","0924090X, 1573269X",5.891
Beyond the brain: towards a mathematical modeling of emotions,Journal of Physics: Conference Series,"This article focuses on a mathematical description of the emotional phenomenon. The key concept is to consider emotions as an energy, and to rely on the analogy with the electromagnetic waves. Our aim is to provide a mathematical approach to characterize the emergence of emotional fluxes in the human psyche. This goes beyond classical pscychological approaches. In this setting, specific emotions correspond to specific frequencies and our psychic state results from the summation of different characteristic frequencies. Our general model of psychic state is a dynamical system whose evolution results from interactions between external inputs and internal reactions. The model provides both qualitative (frequencies) and quantitative (intensity) components. It aims to be applied to real life situations (in particular in work environments) and we provide a typical example which naturally leads to a problem of control.","17426588, 17426596",0.563
Wave Propagation in an excitable medium. Numerical simulations and analytical approach,HAL,"Dans cette thèse, on s' intéresse à la compréhension qualitative de systèmes d'EDP de type FitzHugh Nagumo. Elle est basée sur les propriétés excitable et oscillante du système d'EDO de type FitzHugh Nagumo lorsqu'on varie la valeur d'un paramètre. Après avoir analysé les propriétés du système d'EDO, on contruit des systèmes d'EDP par couplage de Réaction Diffusion ou opérateur des ondes. La simulation numérique des systèmes montre l'émergence de patterns complexes pertinents en biologie et physiologie. D'un point de vue mathématique, cela correspond à des attracteurs non triviaux, et divers théorèmes y sont montrés.","01616420, 15494713",6.35
"The Use of Reduced Models to Generate Irregular, Broad-Band Signals That Resemble Brain Rhythms",Frontiers in Computational Neuroscience,"The brain produces rhythms in a variety of frequency bands. Some are likely by-products of neuronal processes; others are thought to be top-down. Produced entirely naturally, these rhythms have clearly recognizable beats, but they are very far from periodic in the sense of mathematics. The signals are broad-band, episodic, wandering in amplitude and frequency; the rhythm comes and goes, degrading and regenerating. Gamma rhythms, in particular, have been studied by many authors in computational neuroscience, using reduced models as well as networks of hundreds to thousands of integrate-and-fire neurons. All of these models captured successfully the oscillatory nature of gamma rhythms, but the irregular character of gamma in reduced models has not been investigated thoroughly. In this article, we tackle the mathematical question of whether signals with the properties of brain rhythms can be generated from low dimensional dynamical systems. We found that while adding white noise to single periodic cycles can to some degree simulate gamma dynamics, such models tend to be limited in their ability to capture the range of behaviors observed. Using an ODE with two variables inspired by the FitzHugh-Nagumo and Leslie-Gower models, with stochastically varying coefficients designed to control independently amplitude, frequency, and degree of degeneracy, we were able to replicate the qualitative characteristics of natural brain rhythms. To demonstrate model versatility, we simulate the power spectral densities of gamma rhythms in various brain states recorded in experiments.",16625188,2.388
Propagation d'ondes dans un milieu excitable: simulations numériques et approche analytique| Theses. fr,Paris 6,"Cette thèse est une étude qualitative de systèmes dynamiques modélisant des phénomènes apparaissant en physiologie et en biologie. Elle est basée sur un système de deux équations différentielles ordinaires, de type Fitzugh-Nagumo. Suivant la valeur d'un paramètre, ce système est capable de reproduire la propriété d'excitabilité (caractéristique des cellules nerveuses, cardiaques. . . ) ou d'évoluer asymptotiquement vers un cycle limite. A partir de ce système on dérive deux systèmes d'EDP de type réaction-diffusion ou de type équation des ondes. Dans ces systèmes on exhibe numériquement divers phénomènes que l'on retrouve dans les systèmes physiologiques et biologiques: propagation d'ondes, ondes spirales, propagation d'oscillations en salves, phénomènes chaotiques. . . Outre les phénomènes décrits numériquement, la thèse présente chaque système dans un cadre mathématique classique, et divers théorèmes y sont démontrés","12489204, 12654906",2.271
From the Lotka–Volterra model to a spatialised population-driven individual-based model,Ecological modelling,"The modelling of predator–prey dynamics is of great importance in ecology. Models based on differential equations aim to understand the interactions between populations of prey and predators at population scale, but they are unable to handle spatial and individual behaviour heterogeneities (individual scale). In this study, a population-driven individual-based model is proposed that has been developed from the archetypical Lotka–Volterra model. The population scale was retained for processes with slower dynamics, such as reproduction for both species and the natural death of predators. The individual scale was only used for the predation process, defining local rules for individual movements of prey and predators (related to a perception distance of predators and the presence of shelters for prey in the spatial environment) and to locate births and deaths. This model was compared with the Lotka–Volterra …","03043800, 18727026",2.868
The importance of being hybrid for spatial epidemic models: a multi-scale approach,Systems,"This work addresses the spread of a disease within an urban system, defined as a network of interconnected cities. The first step consists of comparing two different approaches: a macroscopic one, based on a system of coupled Ordinary Differential Equations (ODE) Susceptible-Infected-Recovered (SIR) systems exploiting populations on nodes and flows on edges (so-called metapopulational model), and a hybrid one, coupling ODE SIR systems on nodes and agents traveling on edges. Under homogeneous conditions (mean field approximation), this comparison leads to similar results on the outputs on which we focus (the maximum intensity of the epidemic, its duration and the time of the epidemic peak). However, when it comes to setting up epidemic control strategies, results rapidly diverge between the two approaches, and it appears that the full macroscopic model is not completely adapted to these questions. In this paper, we focus on some control strategies, which are quarantine, avoidance and risk culture, to explore the differences, advantages and disadvantages of the two models and discuss the importance of being hybrid when modeling and simulating epidemic spread at the level of a whole urban system.",10495258,51317.0
Systematic generation of biophysically detailed models with generalization capability for non-spiking neurons,PloS one,"Unlike spiking neurons which compress continuous inputs into digital signals for transmitting information via action potentials, non-spiking neurons modulate analog signals through graded potential responses. Such neurons have been found in a large variety of nervous tissues in both vertebrate and invertebrate species, and have been proven to play a central role in neuronal information processing. If general and vast efforts have been made for many years to model spiking neurons using conductance-based models (CBMs), very few methods have been developed for non-spiking neurons. When a CBM is built to characterize the neuron behavior, it should be endowed with generalization capabilities (i.e. the ability to predict acceptable neuronal responses to different novel stimuli not used during the model’s building). Yet, since CBMs contain a large number of parameters, they may typically suffer from a lack of such a capability. In this paper, we propose a new systematic approach based on multi-objective optimization which builds general non-spiking models with generalization capabilities. The proposed approach only requires macroscopic experimental data from which all the model parameters are simultaneously determined without compromise. Such an approach is applied on three non-spiking neurons of the nematode Caenorhabditis elegans (C. elegans), a well-known model organism in neuroscience that predominantly transmits information through non-spiking signals. These three neurons, arbitrarily labeled by convention as RIM, AIY and AFD, represent, to date, the three possible forms of non-spiking neuronal responses of C …",19326203,3.107
A simple model of nonspiking neurons,Neural Computation,"Due to the ubiquity of spiking neurons in neuronal processes, various simple spiking neuron models have been proposed as an alternative to conductance-based models (a.k.a. Hodgkin-Huxley–type models), known to be computationally expensive and difficult to treat mathematically. However, to the best of our knowledge, there is no equivalent in the literature of a simple and lightweight model for describing the voltage behavior of nonspiking neurons, which also are ubiquitous in a large variety of nervous tissues in both vertebrate and invertebrate species and play a central role in information processing. This letter proposes a simple model that reproduces the experimental qualitative behavior of known types of nonspiking neurons. The proposed model, which differs fundamentally from classic simple spiking models unable to characterize nonspiking dynamics due to their intrinsic structure, is derived from …","08997667, 1530888X",2.819
Hopf bifurcations in directed acyclic networks of linearly coupled Hindmarsh–Rose systems,Acta biotheoretica,"This paper addresses the existence of Hopf bifurcations in a directed acyclic network of neurons, each of them being modeled by a Hindmarsh–Rose (HR) neuronal model. The bifurcation parameter is the small parameter corresponding to the ratio of time scales between the fast and the slow dynamics. We first prove that, under certain hypotheses, the single uncoupled neuron can undergo a Hopf bifurcation. Hopf bifurcation occurrences in a directed acyclic network of HR neurons are then discussed. Numerical simulations are carried out to observe these bifurcations and to illustrate the theoretical results.","00015342, 15728358",1.75
Construction of MDS block diffusion matrices for block ciphers and hash functions,ENCE China Inf. ENCES,"Block ciphers are one of the most important building blocks in many cryptosystems. Modern block ciphers are often iterations with several rounds, where each round comprises a (nonlinear) confusion layer and a (linear) diffusion layer. The diffusion layer plays a significant role in block ciphers as well as in other cryptographic primitives such as hash functions. The security of a diffusion layer is measured by its differential branch number and the linear branch number. If the two branch numbers are larger, the diffusion layer is stronger at resisting differential cryptanalysis and linear cryptanalysis. The diffusion layers with the optimal branch numbers are referred to as maximum distance separable (MDS)(refer to [1–3]). Constructing diffusion layers with large branch numbers is a challenge for cryptosystem designers.
There are two types of diffusion layer according to the underlying fields, where the first is over extension fields of the finite field GF (2), and the second type comprises block matrices over GF (2). In fact, the former is a special case of the latter. In [4] and [5], the second type of diffusion layer was considered, ie, block matrices where every block is a polynomial in a certain block L. Unfortunately, these previous studies only presented","1674733X, 18691919",4.979
Modélisation multi-Agents appliquée aux Phénomènes Spatialisés,Journal of Biological Chemistry,"Le réseau thématique MAPS «Modélisation multi-Agent appliquée aux Phénomènes Spatialisés » propose depuis 2009 des évènements scientifiques ayant pour but de diffuser les pratiques de modélisations multi-agents au sein des Sciences de l’Homme et de la Société (SHS). Ce collectif pluridisciplinaire de chercheurs, d’enseignants-chercheurs et de doctorants est labellisé en tant que ≪ réseau thématique » par le Réseau National des Systèmes Complexes (GIS RNSC) et bénéficie du soutien du CNRS au titre de la Formation Permanente. Depuis 2009, plusieurs modèles ont été développés au cours d'événements MAPS. Ces modèles ont fait l'objet de fiches pédagogiques détaillées destinées aux communautés éducatives et universitaires et en particulier aux enseignants qui souhaiteraient faire découvrir la modélisation à leurs étudiants, mais aussi à ceux qui envisagent d’approfondir certains aspects avec un public plus averti. Elles sont également destinées à tous les curieux qui souhaiteraient découvrir ce que la modélisation apporte aux SHS, du point de vue heuristique et du point de vue opérationnel. Enfin, elles sont aussi des supports pour toutes les personnes qui souhaiteraient diffuser les réflexions scientifiques sur la modélisation et la simulation qui ont présidé à la rédaction de ces fiches.","00219258, 1083351X",4.003
"Dynamics of a neuronal model, Synchronizaton and Complexity",HAL,"Le fonctionnement d'un neurone, cellule fondamentale du système nerveux, intéresse de nombreuses disciplines scientifiques. Il existe ainsi des modèles mathématiques qui décrivent leur comportement par des systèmes d'EDO. Plusieurs de ces modèles peuvent ensuite être couplés afin de pouvoir étudier le comportement de réseaux, systèmes complexes au sein desquels émergent des propriétés. Ce travail présente, dans un premier temps, les principaux mécanismes régissant ce fonctionnement afin d'en comprendre la modélisation. Plusieurs modèles sont alors présentés, jusqu'à celui de Hindmarsh-Rose (1984), qui présente une dynamique lente-rapide. C'est sur l'étude numérique mais également théorique de la dynamique asymptotique et transitoire de ce dernier modèle, que se concentre la seconde partie de cette thèse. Dans une troisième partie, des réseaux d'interactions sont construits en couplant les systèmes dynamiques précédemment étudiés. L'étude du phénomène de synchronisation complète au sein de ces réseaux montre l'existence de propriétés émergentes pouvant être caractérisées par des lois de puissance. Enfin, un algorithme de détection de la synchronisation de bursts est proposé.","01616420, 15494713",6.35
Agent-based spatial model coupling using a coordination unit.,WOA,"Modeling complex systems like soil functioning turns out to be a challenge due to its heterogeneous structure, the number of interactions and processes entangled with each other at various levels and scales. Its heterogeneous structure requires a spatially explicit account, by coupling models through the space by using its resources, as proposed by the spatial model coupling approaches. However, these approaches raise the problem of resource conflicts: interacting models can modify resources simultaneously while the amount available cannot supply models demands. As spatial model coupling approaches do not provide proper resource distribution methods to handle that matter, inconsistencies might occur if resource conflicts are poorly managed. In order to solve this problem, we propose a novel coupling approach based on agent paradigm in which the space, associated with a coordination unit supports model exchange and conflict management. This architecture is illustrated by an UML Class Diagram that we implemented into the GAMA platform. To prove its effectiveness, we test the approach on a simple soil model in which numerous models compete for resources scattered in the space. Comparative results suggest that handling conflicts using the coordination unit shows more precise indications of resource use, compared to the model in which conflicts are mismanaged.",-,153.0
Recueil de fiches pédagogiques du réseau MAPS,Journal of Biological Chemistry,"Le réseau MAPS a également pour vocation de diffuser ses travaux scientifiques sur la simulation des systèmes complexes et les phénomènes spatialisés auprès des communautés éducatives et universitaires. Dans ce recueil, 10 fiches pédagogiques et modèles didactiques produites à destination des enseignants et de tous les curieux sont présentées. Chacune des fiches, créées par les participants d’une session MAPS (http://maps.hypotheses.org/), est associée à un modèle. Chaque fiche et modèle explorent un aspect particulier du champ des systèmes complexes associé aux phénomènes spatialisés et illustrent un concept thématique ou un point méthodologique. Les fiches pédagogiques proposent, à travers divers domaines thématiques (la géographie, l’écologie, l’épidémiologie, ou les sciences politiques, entre autres), d’explorer, de mieux appréhender, voire de mettre en application, différents points méthodologiques et techniques autour de la modélisation multi-agents spatialisée : le couplage macro/micro, le fonctionnement en réseau, le comportement adaptatif, ou encore la simulation participative.Ces fiches et les modèles correspondants sont entièrement libres de droit : ils peuvent être téléchargés, utilisés et transmis de manière libre et gratuite, dans un cadre professionnel comme personnel. Nous vous serions toutefois reconnaissants d’informer les auteurs des fiches lors de l’utilisation ou la diffusion de leurs travaux. Leurs noms et coordonnées sont indiqués dans chacune des pages associés aux projets.","00219258, 1083351X",4.003
Noncommutative symmetric functions VI: free quasi-symmetric functions and related algebras,International Journal of Algebra and computation,"This article is devoted to the study of several algebras related to symmetric functions, which admit linear bases labelled by various combinatorial objects: permutations (free quasi-symmetric functions), standard Young tableaux (free symmetric functions) and packed integer matrices (matrix quasi-symmetric functions). Free quasi-symmetric functions provide a kind of noncommutative Frobenius characteristic for a certain category of modules over the 0-Hecke algebras. New examples of indecomposable Hn(0)-modules are discussed, and the homological properties of Hn(0) are computed for small n. Finally, the algebra of matrix quasi-symmetric functions is interpreted as a convolution algebra.","02181967, 17936500",0.64
Noncommutative symmetric functions III: Deformations of Cauchy and convolution algebras,Discrete Mathematics & Theoretical Computer Science,"[in ""Special Issue : Lie Computations"", G. Jacob, V. Koseleff, Eds.]","13658050, 14627264",0.578
The lower central series of the free partially commutative group,Semigroup Forum,"This paper is devoted to the study of the lower central series of the free partially commutative groupF(A, ϑ) in connection with the associated free partially commutative Lie algebra. Using a convenient Magnus transformation, we show that the quotients of the lower central series ofF(A, ϑ) are free abelian groups and thatF(A, ϑ) can be fully ordered.","00371912, 14322137",0.778
Combinatorics and Boson normal ordering: A gentle introduction,American Journal of Physics,"We discuss a general combinatorial framework for operator ordering problems by applying it to the normal ordering of the powers and exponential of the boson number operator. The solution of the problem is given in terms of Bell and Stirling numbers enumerating partitions of a set. This framework reveals several inherent relations between ordering problems and combinatorial objects, and displays the analytical background to Wick’s theorem. The methodology can be straightforwardly generalized from the simple example we discuss to a wide class of operators.",00029505,0.808
Free partially commutative structures,Journal of Algebra,"In this paper, we study algebraic structures defined by a presentation of the form< A; ab= ba for (a, b)∈ I>. We show that these relators are the only one that can be interpreted as both monoid and Lie relators. We also study the free partially commutative monoids, Lie algebras, and groups: in all of these cases, we show how to obtain decomposition results for these structures into the corresponding free structures.","00218693, 1090266X",0.917
The free partially commutative Lie algebra: bases and ranks,Advances in Mathematics,"In this paper, we study the free partially commutative Lie K-algebra L(A,θ) defined by a commutation relation θ on an alphabet A. Its behavior is very similar to that of the free Lie algebra. Indeed, we obtain in particular a partially commutative version of Lazard's elimination process which allows us to prove that the K-module L(A, θ) is free and to construct explicitly K-bases for it. We show also how the classical Witt's calculus can be extended to L(A, θ).","00018708, 10902082",1.624
Euler-Poincaré characteristic and polynomial representations of Iwahori-Hecke algebras,Publications of the Research Institute for Mathematical Sciences,"The Hecke algebras of type A „admit faithful representations by symmetrization operators acting on polynomial rings. These operators are related to the geometry of flag manifolds and in particular to a generalized Euler-Poincare characteristic denned by Hirzebruch. They provide g-idempotents, togetherwith a simple way to describe the irreducible representations of the Hecke algebra. The link with Kazhdan-Lusztig representations is discussed. We specially detail the case of hook representations, and as an application, we investigate the hamiltonian of a quantum spin chain with C/g (su (l/l)) symmetry.","00345318, 16634926",1.024
Un critere de rationalité provenant de la géométrie non commutative,Inventiones mathematicae,"We prove a conjecture of A. Connes, which gives a rationality criterion for elements of the closure of ℂΓ (Γ a free group) in the space of bounded operators in l 2 (Γ). We show that this criterion applies also to the ring of Malcev-Neumann series on Γ.","00209910, 14321297",2.886
Noncommutative symmetric functions VII: free quasi-symmetric functions revisited,Annals of combinatorics,We prove a Cauchy identity for free quasi-symmetric functions and apply it to the study of various bases. A free Weyl formula and a generalization of the splitting formula are also discussed.,"02180006, 02193094",0.753
Direct and dual laws for automata with multiplicities,Theoretical Computer Science,We present here theoretical results coming from the implementation of the package called AMULT (automata with multiplicities). We show that classical formulas are optimal for the bounds. Especially they are almost everywhere optimal for the fields R and C . We characterize the dual laws preserving rationality and examine compatibility between the geometry of the K -automata and these laws.,03043975,1.164
Boson normal ordering via substitutions and Sheffer-Type Polynomials,Physics Letters A,"We solve the boson normal ordering problem for [Formula: see text] with arbitrary functions q and v and integer n, where a and a† are boson annihilation and creation operators, satisfying [a,a†]=1. This leads to exponential operators generalizing the shift operator and we show that their action can be expressed in terms of substitutions. Our solution is naturally related through the coherent state representation to the exponential generating functions of Sheffer-type polynomials. This in turn opens a vast arena of combinatorial methodology which is applied to boson normal ordering and illustrated by a few examples.","00036951, 10773118",3.462
One-parameter groups and combinatorial physics,Contemporary Problems in Mathematical Physics,"In this communication, we consider the normal ordering of operators of the type
where a (resp. a+) is a boson annihilation (resp. creation) operator; these satisfy [a, a+] ≡ aa+ − a+a = 1, and for the purposes of this note, may be thought of as and a+ ≡ x. We discuss the integration of the one-parameter groups eλΩ and their combinatorial by-products. In particular we show how these groups can be realized as groups of substitutions with prefactor functions.",-,153.0
Partially commutative Magnus transformations,International Journal of Algebra and Computation,"Grâce à l’introduction de la notion de forme exponentielle réduite, nous montrons l’injectivité de la transformation de Magnus associée au groupe partiellement commutatif libre F(A, ϑ). Nous en déduisons la séparation de la topologie p-adique de F(A, ϑ), l’existence de plus petites racines dans F(A, ϑ) et enfin la structure des centralisateurs dans F(A, ϑ).
We introduce the notion of reduced exponential form in the free partially commutative group F(A, ϑ). This allows us to prove that the Magnus transformation associated with F(A, ϑ) is injective. We deduce from this result that the p-adic topology on F(A, ϑ) is Hausdorff, that there exist least roots in F(A, ϑ) and finally the exact structure of centralizers in F(A, ϑ).","02181967, 17936500",0.64
Simple Orderings for Free Partially Commutative Groups.,International Journal of Algebra & Computation,"Nous présentons une méthode pour ordonner les groupes partiellement commutatifs libres. Cette méthode conduit a un algorithme de comparaison particulièrement simple.
It is well known that a free group can be ordered by means of its lower central series [10]. However, this method does not lead to a convenient comparison algorithm, and it is even difficult to compute the rank of an element in the lower central series. We present here a different method, directly based on Magnus transformation, which reduces the comparison problem to a simple computation with polynomials. Our algorithm does not make use of the lower central series of the group, but directly of the reason why it has free quotients, ie the injectivity of the Magnus transformation. In presence of commutation relations, additive computations are simpler than multiplicative ones, since, for example, with the commutation graph a, b–c (b commutes with c …","02181967, 17936500",0.64
Sweedler’s duals and Schützenberger’s calculus,Combinatorics and Physics,"We describe the problem of Sweedler’s duals for bialgebras as essentially characterizing the domain of the transpose of the multiplication. This domain is the set of what could be called “representative linear forms” which are the elements of the algebraic dual which are also representative on the multiplicative semigroup of the algebra. When the algebra is free, this notion is indeed equivalent to that of rational functions of automata theory. For the sake of applications, the range of coefficients has been considerably broadened, ie extended to semirings, so that the results could be specialized to the boolean and multiplicity cases. This requires some caution (use of “positive formulas”, iteration replacing inversion, stable submodules replacing finite-rank families for instance). For the theory and its applications has been created a rational calculus which can, in return, be applied to harness Sweedler’s duals. A new theorem of rational closure and application to Hopf algebras of use in Physics and Combinatorics is provided. The concrete use of this “calculus” is eventually illustrated on an example.","23085827, 23085835",1.472
Some useful combinatorial formulas for bosonic operators,Journal of mathematical physics,"We give a general expression for the normally ordered form of a function F [w ̂ (a, a†)] where w ̂ is a function of boson creation and annihilation operators satisfying [a, a†]= 1⁠. The expectation value of this expression in a coherent state becomes an exact generating function of Feynman-type graphs associated with the zero-dimensional quantum field theory defined by F (w ̂)⁠. This enables one to enumerate explicitly the graphs of given order in the realm of combinatorially defined sequences. We give several examples of the use of this technique, including the applications to Kerr-type and superfluidity-type Hamiltonians.
In the normally ordered form of a function F (a, a†) of boson creation and annihilation operators all the annihilation operators are moved to the right using the commutation relation [a, a†]= 1⁠. The importance of the normal form, denoted by N [F (a, a†)] and satisfying F (a, a†)= N [F (a, a†)]⁠, is …","17518113, 17518121",2.078
Harmonic sums and polylogarithms at non-positive multi-indices,Journal of Symbolic Computation,"Extending Eulerian polynomials and Faulhaber's formula,1we study several combinatorial aspects of harmonic sums and polylogarithms at non-positive multi-indices as well as their structure. Our techniques are based on the combinatorics of noncommutative generating series in the shuffle Hopf algebras giving a global process to renormalize the divergent polyzetas at non-positive multi-indices.","07477171, 1095855X",0.832
Heisenberg–Weyl algebra revisited: Combinatorics of words and paths,Journal of Physics A: Mathematical and Theoretical,"The Heisenberg–Weyl algebra, which underlies virtually all physical representations of quantum theory, is considered from the combinatorial point of view. We provide a concrete model of the algebra in terms of paths on a lattice with some decomposition rules. We also discuss the rook problem on the associated Ferrers board; this is related to the calculus in the normally ordered basis. From this starting point we explore combinatorial underpinning of the Heisenberg–Weyl algebra, which offers novel perspectives, methods and applications.","17518113, 17518121",2.078
Orthogonal projection onto the free Lie algebra,Theor. Comput. Sci.,"As an answer to a question of Garsia, we give a universal formula in a “normal form"" for the orthogonal projection of free associative algebra onto free Lie algebra.",03043975,1.164
"Recipe theorem for the Tutte polynomial for matroids, renormalization group-like approach",Advances in Applied Mathematics,"Using a quantum field theory renormalization group-like differential equation, we give a new proof of the recipe theorem for the Tutte polynomial for matroids. The solution of such an equation is in fact given by some appropriate characters of the Hopf algebra of isomorphic classes of matroids, characters which are then related to the Tutte polynomial for matroids. This Hopf algebraic approach also allows to prove, in a new way, a matroid Tutte polynomial convolution formula appearing in [W. Kook, V. Reiner, D. Stanton, A convolution formula for the Tutte polynomial, J. Combin. Theory Ser. B 76 (1999) 297–300] and [G. Etienne, M. Las Vergnas, External and internal elements of a matroid basis, Discrete Math. 179 (1998) 111–119].","01968858, 10902074",1.006
The Ramanujan master theorem and its implications for special functions,Applied Mathematics and Computation,"We study a number of possible extensions of the Ramanujan master theorem, which is formulated here by using methods of Umbral nature. We discuss the implications of the procedure for the theory of special functions, like the derivation of formulae concerning the integrals of products of families of Bessel functions and the successive derivatives of Bessel type functions. We stress also that the procedure we propose allows a unified treatment of many problems appearing in applications, which can formally be reduced to the evaluation of exponential- or Gaussian-like integrals.","00963003, 18735649",3.991
"Kleene stars of the plane, polylogarithms and symmetries",Theoretical Computer Science,"We extend the definition and construct several bases for polylogarithms Li T, where T are some series, recognizable by a finite state (multiplicity) automaton of alphabet 1 X={x 0, x 1}. The kernel of this new “polylogarithmic map” Li• is also characterized and provides a rewriting process which terminates to a normal form. We concentrate on algebraic and analytic aspects of this extension allowing index polylogarithms at non-positive multi-indices, by rational series and regularize polyzetas at non-positive multi-indices 2.",03043975,1.164
On certain non-unique solutions of the Stieltjes moment problem,Discrete Mathematics & Theoretical Computer Science,"We construct explicit solutions of a number of Stieltjes moment problems based on moments of the form and , , , \textit{i.e.} we find functions satisfying . It is shown using criteria for uniqueness and non-uniqueness (Carleman, Krein, Berg, Pakes, Stoyanov) that for both give rise to non-unique solutions. Examples of such solutions are constructed using the technique of the inverse Mellin transform supplemented by a Mellin convolution. We outline a general method of generating non-unique solutions for moment problems generalizing , such as the product and , .","13658050, 14627264",0.578
